hidden_layers,dropout,optimizer,accuracy
512-256-128,0.2,adam,0.6915773153305054
128-64,0.3,adam,0.6915035247802734
256-128,0.2,sgd,0.6914873719215393
256-128-64,0.2,sgd,0.6888962388038635
512-256-128,0.1,adam,0.6839608550071716
128-64,0.2,adam,0.6508945226669312
256-128,0.3,adam,0.6508299708366394
256-128-64,0.1,adam,0.6507791876792908
128-64,0.1,adam,0.6474589705467224
512-256-128,0.2,sgd,0.6391940712928772
256-128-64,0.1,sgd,0.5316611528396606
128-64,0.2,sgd,0.5285254716873169
256-128-64,0.3,adam,0.5285139679908752
256-128-64,0.3,sgd,0.52463299036026
512-256-128,0.3,adam,0.42219462990760803
256-128-64,0.2,adam,0.339359313249588
128-64,0.3,sgd,0.3312605917453766
256-128,0.2,adam,0.30609917640686035
256-128,0.1,adam,0.30297043919563293
256-128,0.1,sgd,0.30294275283813477
128-64,0.1,sgd,0.30289891362190247
512-256-128,0.1,sgd,0.30277663469314575
512-256-128,0.3,sgd,0.29303741455078125
256-128,0.3,sgd,0.2119256556034088
